FID,OBJECTID,SHAPE,TEXT13ID,F_TYP,T_TEXT,T_LANG,O,P,O_UEREG,O_REGION,O_LOKAL,P_WLD,P_WAS,P_WIE,P_WGT,P_LW,P_PK,P_GPK,P_GST,P_SGR,P_AGR,P_RGR,P_URB,Q_MOB,Q_SPI,Q_GRI,Q_HUN,Q_BAB,Q_WC,Q_SPO,Q_TRB,UMFANG,FLAECHE,SE_ANNO_CAD_DATA
OEFFGRUENFLOGD.2289,2289,"MULTIPOLYGON (((16.350818760690476 48.233685314962706, 16.34928275190711 48.23379791620345, 16.349237881230582 48.2336217098326, 16.3492844550307 48.23361636615527, 16.34923847462497 48.23331172891009, 16.34916671529333 48.2333156725154, 16.349123743497103 48.233139748253095, 16.348949968057315 48.23315915888403, 16.348932873192453 48.23316112849919, 16.348134408720515 48.23326070267314, 16.347813288103456 48.23222494045513, 16.346938188182648 48.23231202178335, 16.346928488603524 48.232268484216554, 16.346930041932897 48.232268328488296, 16.34692808117136 48.232257794110495, 16.34693144622599 48.232257254203745, 16.346931373347307 48.232256353098066, 16.34693136929728 48.23225629734101, 16.346930501500264 48.23224556321208, 16.346898722332757 48.2322398375851, 16.346879618221095 48.232236395013636, 16.346866825599413 48.232212744261375, 16.346852282365795 48.232185586347725, 16.346839737559925 48.232162480553235, 16.3468043438275 48.23209682855506, 16.34679653362821 48.23208235033064, 16.346788155170614 48.23206680017648, 16.346780066233336 48.23205178508646, 16.346771831870136 48.23203650201383, 16.34673040158374 48.23195960373366, 16.346730012421997 48.231958880721365, 16.34671947045791 48.23194126503861, 16.346708333352186 48.231922730311105, 16.346699446266424 48.23190780252247, 16.346697678370436 48.231905290002935, 16.346685273483377 48.2318876699928, 16.34666963980992 48.23186546287885, 16.346664438462263 48.231858073696095, 16.34663724109608 48.231824082134644, 16.346635069396406 48.23182160472451, 16.346559944909984 48.231665090509374, 16.346460807426137 48.23154195645815, 16.3465203427819 48.23152686955592, 16.34662102733673 48.23150135489808, 16.34677891880981 48.23148879214514, 16.346736603334314 48.231289430748475, 16.34673167872194 48.231266231600756, 16.346775632770452 48.23126172824081, 16.346952229574324 48.231243635419354, 16.347239602958876 48.23121438010512, 16.347428583281125 48.23119754438583, 16.347608333009493 48.23118367612134, 16.347566130439983 48.23099083503542, 16.347784956887025 48.2309391023484, 16.34809615266474 48.23090900070005, 16.348949357715963 48.230730730633795, 16.349352333894934 48.23064665460238, 16.349688341589292 48.23230584965893, 16.350128899210457 48.232266733960316, 16.350513457404034 48.23221918986501, 16.350724062064153 48.23302573440751, 16.350818760690476 48.233685314962706), (16.348949452429345 48.231107599003714, 16.348652117037293 48.23112505528733, 16.348705777836592 48.231483933265935, 16.348949541988823 48.23146395219732, 16.349146733682783 48.23144762893958, 16.349084993637355 48.231099434133675, 16.348949452429345 48.231107599003714), (16.346651463968033 48.23160464820543, 16.346711796203415 48.23182932454155, 16.346775537835246 48.23182516558151, 16.346721076889278 48.2316009302971, 16.346651463968033 48.23160464820543)))",Währinger Pa*,L,Währinger Park,Währinger Park,1,100000,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,1245,1,1460.94145058,57020.13190308,
OEFFGRUENFLOGD.2290,2290,"POLYGON ((16.32885286046067 48.23481776586853, 16.328235643113363 48.234913277637844, 16.327949039394095 48.23498351666962, 16.32764183331566 48.23508803980819, 16.327451743580585 48.235174584672514, 16.327113566577154 48.23532154087929, 16.327277564587916 48.23510403206375, 16.328603854642495 48.23461709067728, 16.32885286046067 48.23481776586853))",Türkenschanz*,L,Türkenschanzplatz,Türkenschanzplatz,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,310.90019614,2002.71599346,
OEFFGRUENFLOGD.2291,2291,"POLYGON ((16.308696584864947 48.22280832694216, 16.309323854794513 48.22284304235347, 16.30939703939188 48.222894488493495, 16.309110723917343 48.223007117674975, 16.309162083711776 48.22307570249654, 16.30840823931921 48.22333997820423, 16.308270571309716 48.22317329109517, 16.308227070213412 48.22297683592091, 16.308244360515936 48.222861615316205, 16.308259613629307 48.22277787025457, 16.308696584864947 48.22280832694216))",Kongreßpark,L,Kongreßpark/Kainzga,Kainzgasse,1,100000,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2,12,1,249.28487584,3243.48478905,
OEFFGRUENFLOGD.2292,2292,"POLYGON ((16.30180007776387 48.22952717210072, 16.301758052947267 48.229470952425054, 16.304219016674065 48.22894837148695, 16.305470533062735 48.22866064993089, 16.305470505939038 48.22870617772094, 16.30538636155763 48.228741284334085, 16.304939378531408 48.22887128427259, 16.30473952368825 48.22896593862789, 16.30432405220378 48.22915215189924, 16.30399799765567 48.22926447577153, 16.30379817507945 48.22932399947376, 16.303393268548685 48.22939414411981, 16.303051497506807 48.229432829472614, 16.30275911795893 48.229416422631175, 16.30245738232423 48.229404553850756, 16.30180007776387 48.22952717210072))",Josef-Kaderk*,L,Josef-Kaderka-Park,Josef-Kaderka-Park,1,100000,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,596.4859502,5086.63643454,
OEFFGRUENFLOGD.2293,2293,"POLYGON ((16.33482490135329 48.227149645449444, 16.33479146688981 48.22709986082309, 16.334725572558785 48.22710657886299, 16.334667294885932 48.22706179230247, 16.334628802797734 48.22700585445558, 16.334602425864638 48.226889123070215, 16.334526248390986 48.22682223015307, 16.33445962665706 48.22677194046697, 16.334472549892002 48.22669495929853, 16.334571072710617 48.226648286170175, 16.334679574014242 48.2266513164075, 16.33481188617276 48.226591987412974, 16.33479046019864 48.226548914496775, 16.334875119635484 48.226496575270474, 16.335015828402888 48.22650053810484, 16.335109260014537 48.22645864252754, 16.335147669502177 48.22639639406076, 16.335260458113247 48.22632993552356, 16.335349826912644 48.22631311891513, 16.3353951839177 48.226330430993734, 16.335677270139346 48.22681409455825, 16.33482490135329 48.227149645449444))",Ebner-Eschen*,L,Ebner-Eschenbach-Park,Ebner-Eschenbach-Park,1,100000,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2,1,285.00613316,4592.97040017,
OEFFGRUENFLOGD.2294,2294,"POLYGON ((16.247714790264123 48.22006958187599, 16.247487042428574 48.22095439019231, 16.24727612923484 48.221752088812046, 16.247230311467945 48.221788026055, 16.24694794342881 48.221799892577906, 16.246907593583817 48.22178609007902, 16.246882478651052 48.221755718698255, 16.247055159370507 48.22097035680569, 16.247062902902357 48.22069550938587, 16.247077202796564 48.22044090163479, 16.247245454408056 48.220422483323134, 16.24737547956979 48.22033321415837, 16.247528042784378 48.22012227305812, 16.24762600207455 48.22005068464573, 16.247714790264123 48.22006958187599))",Karl-Bekehrt*,L,Karl-Bekehrty-Straße,Karl-Bekehrty-Straße,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,440.85457885,5670.09752211,
OEFFGRUENFLOGD.2295,2295,"POLYGON ((16.315514959037824 48.232447871318584, 16.31529798305195 48.232420852944564, 16.31446829440214 48.23231727910166, 16.31445971731063 48.23193956562717, 16.315298239641084 48.23178627457396, 16.31552264356651 48.231745002169276, 16.315514959037824 48.232447871318584))",Park Herbeck*,L,Park Herbeckstraße,Parkanlage Herbeckstraße,1,100000,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,281.1405988,4707.301528,
OEFFGRUENFLOGD.2296,2296,"POLYGON ((16.322074802775678 48.218997599553035, 16.322025541171524 48.21902781057237, 16.322003868449343 48.21905199952724, 16.3219960596467 48.219065218518224, 16.321987304893476 48.21909282644904, 16.321905078377785 48.219103248427245, 16.321885521019972 48.21903484404386, 16.321859351215206 48.219004070719166, 16.32159082602085 48.218240180667415, 16.321628379500105 48.218210114051296, 16.322257780886805 48.2181438667168, 16.32253142589716 48.218920402906775, 16.32249796486574 48.21892456909572, 16.32252505116206 48.219022836949854, 16.322350729937533 48.21904528751912, 16.322307609319196 48.21900886906741, 16.322247193007623 48.21898458029722, 16.32215837741099 48.21897755493472, 16.322074802775678 48.218997599553035))",Clemens-Hofb*,L,Clemens-Hofbauer-Platz,Clemens-Hofbauer-Platz,1,100000,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,125,1,308.86600838,4863.00085245,
OEFFGRUENFLOGD.2297,2297,"POLYGON ((16.248033522713 48.20959390961275, 16.248432273556634 48.20962259935795, 16.248616333877084 48.20970199184988, 16.24863985093499 48.209795594521246, 16.248632758311118 48.209852077964676, 16.248445558555666 48.21066637990892, 16.2481829579902 48.21095677145883, 16.24803104243854 48.21104124684818, 16.247118052085415 48.21154950211747, 16.24589663121036 48.21197741275805, 16.24546481544365 48.21199393553547, 16.24504778191272 48.21187276043506, 16.244537283205304 48.21150307304956, 16.244368306351998 48.21132476117137, 16.244374034327567 48.21114152982124, 16.244389703166053 48.21095437187716, 16.244415085940272 48.21045527091501, 16.244560084613344 48.21017659795961, 16.24497397741309 48.20993748328172, 16.245415234424296 48.20982204485248, 16.247699080798846 48.209569765410365, 16.248033522713 48.20959390961275))",Wolfersberg,L,Wolfersberg,Wolfersberg,1,100000,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,1,945.60642002,62097.14716051,
OEFFGRUENFLOGD.2298,2298,"POLYGON ((16.2452168795522 48.20770933420353, 16.244947103336006 48.20771755184726, 16.244448513121984 48.207780951484466, 16.244102215056735 48.2078554308471, 16.244083151733648 48.207825344206455, 16.24496944105937 48.207360372141196, 16.245024208475936 48.207331749755745, 16.245038538802696 48.20736042686215, 16.245083333840668 48.20745039411341, 16.245174156367913 48.20744653142421, 16.2452168795522 48.20770933420353))",Franz-Sauer-*,L,Franz-Sauer-Park,Franz-Sauer-Park,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2,0,227.43935148,1921.20971441,
